runtime,HL_num_expanded,HL_num_generated,LL_num_expanded,LL_num_generated,,solution_cost,,,,,
no conflict,,,,,,,,,,,
0,0,1,4,6,D:\Dev\eps-net\MC-CBS\instances\Dror\2 2D robots not conflicts.ymal,1.96,0,ASYM,2,1,0
0,0,1,4,6,D:\Dev\eps-net\MC-CBS\instances\Dror\2 2D robots not conflicts.ymal,1.96,0,MAX,2,1,0
0,0,1,4,6,D:\Dev\eps-net\MC-CBS\instances\Dror\2 2D robots not conflicts.ymal,1.96,0,MAX,2,1,1
edge conflicts,,,,,,,,,,,
0,1,3,10,14,D:\Dev\eps-net\MC-CBS\instances\Dror\2 2D robots conflicts.yml,1.96,1.00E-10,ASYM,2,1,0
0,1,3,10,14,D:\Dev\eps-net\MC-CBS\instances\Dror\2 2D robots conflicts.yml,1.96,1.00E-10,MAX,2,1,0
0,1,3,10,14,D:\Dev\eps-net\MC-CBS\instances\Dror\2 2D robots conflicts.yml,1.96,1,MAX,2,1,1
both conflicts,,,,,,,,,,,
0,1,2,8,11,D:\Dev\eps-net\MC-CBS\instances\Dror\2 2D robots conflicts edge and vert.yml,1.96,1.00E-10,ASYM,2,1,0
0,1,3,10,14,D:\Dev\eps-net\MC-CBS\instances\Dror\2 2D robots conflicts edge and vert.yml,1.96,1.00E-10,MAX,2,1,0
0,1,3,10,14,D:\Dev\eps-net\MC-CBS\instances\Dror\2 2D robots conflicts edge and vert.yml,1.96,1,MAX,2,1,1
both all conflicts,,,,,,,,,,,
